                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.46514,                0.27252,                0.89404,                0.98988,                0.99276,                0.99387,                0.96389,                0.30497,                0.14946,                0.79027,               0.002872,               0.002872,               0.002872
                     38,                0.46021,                0.26961,                 0.8915,                0.99006,                0.99284,                0.99382,                0.96437,                0.30404,                0.14872,                0.78993,               0.002674,               0.002674,               0.002674
                     39,                0.45456,                0.26434,                 0.8911,                0.98955,                0.99328,                0.99385,                 0.9645,                0.30314,                0.14811,                0.78963,               0.002476,               0.002476,               0.002476
                     40,                0.45387,                0.26225,                0.89102,                0.98986,                0.99301,                0.99388,                 0.9648,                0.30235,                0.14746,                0.78939,               0.002278,               0.002278,               0.002278
                     41,                0.36211,                0.20019,                0.82297,                0.99019,                0.99323,                0.99387,                0.96524,                0.30152,                0.14656,                 0.7892,                0.00208,                0.00208,                0.00208
                     42,                0.35534,                 0.1965,                0.82252,                0.99011,                0.99336,                0.99392,                0.96549,                0.30074,                0.14592,                0.78912,               0.001882,               0.001882,               0.001882
                     43,                0.34902,                0.19014,                0.81968,                0.98942,                0.99408,                0.99392,                0.96592,                0.29993,                0.14512,                0.78887,               0.001684,               0.001684,               0.001684
                     44,                0.34511,                0.18708,                0.81852,                0.98963,                 0.9943,                0.99388,                0.96591,                0.29901,                0.14431,                0.78867,               0.001486,               0.001486,               0.001486
                     45,                0.33911,                0.18165,                0.81551,                0.98938,                 0.9947,                0.99393,                0.96624,                0.29814,                0.14361,                0.78842,               0.001288,               0.001288,               0.001288
                     46,                 0.3337,                0.17803,                0.81314,                0.98963,                0.99461,                0.99392,                0.96635,                0.29711,                0.14292,                0.78807,                0.00109,                0.00109,                0.00109
                     47,                0.32824,                0.17344,                0.81196,                0.98985,                0.99463,                0.99395,                0.96677,                0.29614,                0.14243,                0.78775,               0.000892,               0.000892,               0.000892
                     48,                0.32309,                0.16834,                0.81043,                0.98968,                0.99491,                0.99396,                0.96717,                0.29521,                0.14193,                0.78739,               0.000694,               0.000694,               0.000694
                     49,                0.31827,                 0.1649,                0.80904,                0.98973,                0.99487,                0.99395,                0.96724,                0.29436,                 0.1413,                0.78698,               0.000496,               0.000496,               0.000496
                     50,                0.31259,                0.15945,                0.80744,                0.98954,                 0.9952,                0.99406,                0.96759,                0.29357,                0.14079,                0.78664,               0.000298,               0.000298,               0.000298
